Kuvio;Pinta-ala (ha);Ikä (v);Tilavuus (m3);Kuusen osuus (;Männyn osuus (;Lehtipuiden osuus (%);Keskiläpimitta (cm);Keskipituus (m);Runkoluku (kpl/ha);Pohjapinta-ala (m2/ha);Kasvu (m3/ha/v)
1;0.2;57;36;52;12;36;19;18;1040;21;8.8
2;2.1;69;469;80;15;5;27;23;420;21;5.8
3;0.6;58;112;80;13;7;23;20;540;21;7
4;1.3;53;215;14;74;12;22;19;530;18;5.8
5;0.5;85;107;13;82;5;31;25;280;19;5.4
6;1.3;82;224;16;62;22;28;24;270;16;1.5
7;0.6;63;94;7;86;7;25;20;350;17;1.8
8;0.8;69;245;62;0;38;24;21;820;30;8.7
9;0.5;59;9;80;0;20;14;12;320;3;0.4
10;4;32;522;69;0;31;15;13;1400;20;10.1
11;2.6;33;311;52;14;34;16;14;1280;18;6.8
12;0.7;30;90;22;;78;14;15;1530;20;7.9
13;0.9;62;161;34;40;26;24;20;520;20;6
14;2.3;57;217;0;100;0;16;14;750;13;2.7
15;0.4;76;157;82;7;11;29;24;660;31;7.2
16;1;69;176;15;83;2;26;21;350;18;4.9
17;0.5;60;188;63;;37;24;22;940;33;9.3
18;2;57;412;68;16;16;24;21;540;21;6.4
19;0.4;40;52;47;;53;18;16;1180;17;9.3
20;0.3;67;107;77;7;16;26;23;750;30;7.3
21;0.5;88;180;93;7;0;28;22;710;32;5.6
22;0.2;65;50;83;17;0;24;19;740;24;7.1
23;1.2;27;94;89;0;11;12;11;1610;15;7.2
24;0.6;46;148;68;0;32;20;18;980;27;9.3
25;2.1;37;276;65;0;35;16;14;1120;19;8.4
27;0.3;28;30;17;0;83;14;15;1290;16;7.1
28;0.8;32;159;74;0;26;16;15;1420;26;13.8
29;1.8;102;509;76;18;6;27;21;690;28;6
